Time [s],Channel 0,Channel 1
0.016837320,1,0
0.017123520,0,0
0.066839820,0,1
0.067122420,1,1
0.116836500,1,0
0.117122140,0,0
0.166838840,0,1
0.167121680,1,1
0.216841880,1,0
0.217121620,0,0
0.266838320,0,1
0.267120680,1,1
0.316841280,1,0
0.317120520,0,0
0.366843600,0,1
0.367119800,1,1
0.416839900,1,0
0.417119780,0,0
0.466840840,0,1
0.467119300,1,1
0.516843680,1,0
0.517118540,0,0
0.566840640,0,1
0.567126060,1,1
0.616843200,1,0
0.617117620,0,0
0.666845500,0,1
0.667117500,1,1
0.716842600,1,0
0.717116760,0,0
0.766844940,0,1
0.767116220,1,1
0.816847940,1,0
0.817116080,0,0
0.866844040,0,1
0.867115340,1,1
0.916846580,1,0
0.917115700,0,0
0.966849420,0,1
0.967114480,1,1
1.016845680,1,0
1.017114440,0,0
1.066848060,0,1
1.067113580,1,1
1.116851060,1,0
1.117113180,0,0
1.166847580,0,1
1.167113460,1,1
1.216849760,1,0
1.217126040,0,0
1.266851700,0,1
1.267112180,1,1
1.316853820,1,0
1.317111580,0,0
1.366849900,0,1
1.367110940,1,1
1.416852480,1,0
1.417110540,0,0
1.466852380,0,1
1.467110560,1,1
1.516855380,1,0
1.517110020,0,0
1.566851900,0,1
1.567109160,1,1
1.616854080,1,0
1.617108940,0,0
1.666856020,0,1
1.667108240,1,1
1.716858140,1,0
1.717107820,0,0
1.766854220,0,1
1.767107340,1,1
1.816856800,1,0
1.817107100,0,0
1.866859300,0,1
1.867106440,1,1
1.916855960,1,0
1.917106080,0,0
1.966858320,0,1
1.967105740,1,1
2.016861360,1,0
2.017105640,0,0
2.066857800,0,1
2.067104700,1,1
2.116860740,1,0
2.117104240,0,0
2.166863040,0,1
2.167103840,1,1
2.216859360,1,0
2.217103960,0,0
2.266860940,0,1
2.267103120,1,1
2.316863060,1,0
2.317102540,0,0
2.366859960,0,1
2.367102000,1,1
2.416862140,1,0
2.417101760,0,0
2.466861340,0,1
2.467101640,1,1
2.516863860,1,0
2.517100940,0,0
2.566866700,0,1
2.567100280,1,1
2.616862960,1,0
2.617099900,0,0
2.666865320,0,1
2.667099520,1,1
2.716868320,1,0
2.717099260,0,0
2.766864860,0,1
2.767098640,1,1
2.816867020,1,0
2.817098240,0,0
2.866868980,0,1
2.867097560,1,1
2.916871080,1,0
2.917097180,0,0
2.966867160,0,1
2.967096740,1,1
3.016869740,1,0
3.017096720,0,0
3.066872240,0,1
3.067095820,1,1
3.116868900,1,0
3.117095500,0,0
3.166871240,0,1
3.167095020,1,1
3.216874300,1,0
3.217094520,0,0
3.266870720,0,1
3.267094060,1,1
3.316873680,1,0
3.317094000,0,0
3.366875980,0,1
3.367093180,1,1
3.416872280,1,0
3.417093320,0,0
3.466873100,0,1
3.467092940,1,1
3.516875940,1,0
3.517092280,0,0
3.566872880,0,1
3.567091540,1,1
3.616875060,1,0
3.617090980,0,0
3.666877360,0,1
3.667090620,1,1
3.716874520,1,0
3.717090080,0,0
3.766675680,0,1
3.767090240,1,1
3.816678520,1,0
3.817089440,0,0
3.866675060,0,1
3.867089200,1,1
3.916677600,1,0
3.917088340,0,0
3.966679900,0,1
3.967087920,1,1
4.016676980,1,0
4.017087780,0,0
4.066679040,0,1
4.067087120,1,1
4.116681520,1,0
4.117086660,0,0
4.166678480,0,1
4.167086120,1,1
4.216681040,1,0
4.217085820,0,0
4.266683340,0,1
4.267085220,1,1
4.316680420,1,0
4.317085220,0,0
4.366682780,0,1
4.367084320,1,1
4.416679860,1,0
4.417084260,0,0
4.466682160,0,1
4.467089980,1,1
4.516684340,1,0
4.517082980,0,0
4.566686280,0,1
4.567082940,1,1
4.616682480,1,0
4.617082540,0,0
4.666684460,0,1
4.667081620,1,1
4.716687040,1,0
4.717081220,0,0
4.766683620,0,1
4.767080780,1,1
4.816686200,1,0
4.817080360,0,0
4.866688540,0,1
4.867080000,1,1
4.916685680,1,0
4.917079580,0,0
4.966688020,0,1
4.967079160,1,1
5.016690960,1,0
5.017078960,0,0
5.066687360,0,1
5.067078100,1,1
5.116689580,1,0
5.117077780,0,0
5.166691160,0,1
5.167077380,1,1
5.216693260,1,0
5.217077100,0,0
5.266690160,0,1
5.267076380,1,1
5.316692340,1,0
5.317076540,0,0
5.366694640,0,1
5.367075460,1,1
5.416691780,1,0
5.417086280,0,0
5.466693160,0,1
5.467074640,1,1
5.516694920,1,0
5.517074440,0,0
5.566697300,0,1
5.567073700,1,1
5.616694380,1,0
5.617073540,0,0
5.666696720,0,1
5.667072820,1,1
5.716693800,1,0
5.717072420,0,0
5.766695820,0,1
5.767072080,1,1
5.816698340,1,0
5.817072160,0,0
5.866695260,0,1
5.867071040,1,1
5.916697440,1,0
5.917070720,0,0
5.966699800,0,1
5.967070180,1,1
6.016696880,1,0
6.017070100,0,0
6.066699320,0,1
6.067069260,1,1
6.116701480,1,0
6.117068860,0,0
6.166703440,0,1
6.167068440,1,1
6.216699620,1,0
6.217068280,0,0
6.266701600,0,1
6.267067760,1,1
6.316704180,1,0
6.317067160,0,0
6.366700760,0,1
6.367066640,1,1
6.416703340,1,0
6.417066200,0,0
6.466704160,0,1
6.467066280,1,1
6.516707040,1,0
6.517065840,0,0
6.566703420,0,1
6.567064820,1,1
6.616705640,1,0
6.617064480,0,0
6.666707220,0,1
6.667063940,1,1
6.716709320,1,0
6.717063560,0,0
6.766706220,0,1
6.767063100,1,1
6.816708400,1,0
6.817062680,0,0
6.866710700,0,1
6.867062220,1,1
6.916707840,1,0
6.917062460,0,0
6.966710180,0,1
6.967061360,1,1
7.016712320,1,0
7.017061040,0,0
7.066708760,0,1
7.067060440,1,1
7.116710980,1,0
7.117060120,0,0
7.166712560,0,1
7.167059540,1,1
7.216714660,1,0
7.217059380,0,0
7.266711560,0,1
7.267058820,1,1
7.316713740,1,0
7.317058260,0,0
7.366716040,0,1
7.367057780,1,1
7.416713180,1,0
7.417057640,0,0
7.466715960,0,1
7.467057460,1,1
7.516713040,1,0
7.517056660,0,0
7.566715060,0,1
7.567056080,1,1
7.616717580,1,0
7.617055620,0,0
7.666714500,0,1
7.667055540,1,1
7.716716680,1,0
7.717054720,0,0
7.766719040,0,1
7.767054280,1,1
7.816716120,1,0
7.817054100,0,0
7.866718540,0,1
7.867053400,1,1
7.916720720,1,0
7.917052960,0,0
7.966722660,0,1
7.967052700,1,1
8.016718840,1,0
8.017052540,0,0
8.066720820,0,1
8.067051600,1,1
8.116723400,1,0
8.117051200,0,0
8.166719980,0,1
8.167050700,1,1
8.216722560,1,0
8.217050580,0,0
8.266724900,0,1
8.267049860,1,1
8.316722020,1,0
8.317049480,0,0
8.366724360,0,1
8.367048980,1,1
8.416727300,1,0
8.417048900,0,0
8.466723180,0,1
8.467048840,1,1
8.516725740,1,0
8.517048120,0,0
8.566728080,0,1
8.567047440,1,1
8.616725200,1,0
8.617047000,0,0
8.666727540,0,1
8.667046300,1,1
8.716730500,1,0
8.717045860,0,0
8.766726880,0,1
8.767045400,1,1
8.816729080,1,0
8.817045260,0,0
8.866730660,0,1
8.867044540,1,1
8.916732780,1,0
8.917044200,0,0
8.966729660,0,1
8.967043860,1,1
9.016731840,1,0
9.017043420,0,0
9.066734120,0,1
9.067042920,1,1
9.116731280,1,0
9.117042460,0,0
9.166733620,0,1
9.167042260,1,1
9.216735740,1,0
9.217041580,0,0
9.266732180,0,1
9.267041040,1,1
9.316734400,1,0
9.317040960,0,0
9.366735980,0,1
9.367040120,1,1
9.416738080,1,0
9.417039760,0,0
9.466735420,0,1
9.467039840,1,1
9.516737940,1,0
9.517038780,0,0
9.566734840,0,1
9.567038340,1,1
9.616737420,1,0
9.617038020,0,0
9.666739760,0,1
9.667037600,1,1
9.716736880,1,0
9.717037120,0,0
9.766515700,0,1
9.767037060,1,1
9.816517860,1,0
9.817036320,0,0
9.866520700,0,1
9.867036140,1,1
9.916517360,1,0
9.917035320,0,0
9.966519680,0,1
9.967034920,1,1
10.016522700,1,0
10.017034740,0,0
10.066519160,0,1
10.067033940,1,1
10.116522180,1,0
10.117033660,0,0
10.166524200,0,1
10.167033060,1,1
10.216520840,1,0
10.217033440,0,0
10.266523700,0,1
10.267032180,1,1
10.316525900,1,0
10.317031820,0,0
10.366522360,0,1
10.367031320,1,1
10.416525380,1,0
10.417031100,0,0
10.466526080,0,1
10.467031000,1,1
10.516528660,1,0
10.517029980,0,0
10.566525120,0,1
10.567029540,1,1
10.616528180,1,0
10.617029640,0,0
10.666530540,0,1
10.667028720,1,1
10.716527600,1,0
10.717028720,0,0
10.766529900,0,1
10.767027820,1,1
10.816532140,1,0
10.817027540,0,0
10.866527840,0,1
10.867026940,1,1
10.916529960,1,0
10.917026580,0,0
10.966532780,0,1
10.967026240,1,1
11.016534960,1,0
11.017026120,0,0
11.066531360,0,1
11.067025180,1,1
11.116534440,1,0
11.117024740,0,0
11.166536800,0,1
11.167024240,1,1
11.216533040,1,0
11.217023920,0,0
11.266535420,0,1
11.267023800,1,1
11.316537660,1,0
11.317023160,0,0
11.366533340,0,1
11.367022520,1,1
11.416535460,1,0
11.417022500,0,0
11.466538300,0,1
11.467022340,1,1
11.516540480,1,0
11.517021620,0,0
11.566536880,0,1
11.567020880,1,1
11.616539960,1,0
11.617020480,0,0
11.666542320,0,1
11.667020040,1,1
11.716538540,1,0
11.717019480,0,0
11.766540920,0,1
11.767019000,1,1
11.816543160,1,0
11.817018600,0,0
11.866538860,0,1
11.867018100,1,1
11.916540980,1,0
11.917017640,0,0
11.966543800,0,1
11.967017280,1,1
12.016545980,1,0
12.017017120,0,0
12.066542380,0,1
12.067016500,1,1
12.116545460,1,0
12.117015920,0,0
12.166547820,0,1
12.167015420,1,1
12.216544060,1,0
12.217015240,0,0
12.266546440,0,1
12.267014600,1,1
12.316548660,1,0
12.317014500,0,0
12.366544360,0,1
12.367013700,1,1
12.416546480,1,0
12.417106220,0,0
12.466546780,0,1
12.467013340,1,1
12.516549860,1,0
12.517012720,0,0
12.566552220,0,1
12.567012340,1,1
12.616548460,1,0
12.617011620,0,0
12.666550820,0,1
12.667011220,1,1
12.716553060,1,0
12.717011020,0,0
12.766548740,0,1
12.767010200,1,1
12.816550880,1,0
12.817010040,0,0
12.866553700,0,1
12.867009360,1,1
12.916555880,1,0
12.917009620,0,0
12.966552280,0,1
12.967008460,1,1
13.016555360,1,0
13.017008020,0,0
13.066557720,0,1
13.067007560,1,1
13.116553940,1,0
13.117007320,0,0
13.166556320,0,1
13.167006680,1,1
13.216558560,1,0
13.217006360,0,0
13.266554240,0,1
13.267006140,1,1
13.316556360,1,0
13.317005380,0,0
13.366559180,0,1
13.367005000,1,1
13.416561360,1,0
13.417004800,0,0
13.466557060,0,1
13.467004740,1,1
13.516560080,1,0
13.517004280,0,0
13.566562440,0,1
13.567003320,1,1
13.616559500,1,0
13.617002860,0,0
13.666561800,0,1
13.667002540,1,1
13.716564040,1,0
13.717001900,0,0
13.766559720,0,1
13.767001380,1,1
13.816561840,1,0
13.817001200,0,0
13.866564660,0,1
13.867000660,1,1
13.916566860,1,0
13.917000100,0,0
13.966563260,0,1
13.966999760,1,1
14.016566320,1,0
14.016999600,0,0
14.066568680,0,1
14.066998900,1,1
14.116564900,1,0
14.116998420,0,0
14.166567280,0,1
14.166998260,1,1
14.216569520,1,0
14.216997640,0,0
14.266565200,0,1
14.266996980,1,1
14.316567320,1,0
14.316996660,0,0
14.366570140,0,1
14.366996120,1,1
14.416572320,1,0
14.416995720,0,0
14.466568720,0,1
14.466995740,1,1
14.516571800,1,0
14.516994840,0,0
14.566574160,0,1
14.566994500,1,1
14.616570380,1,0
14.616993940,0,0
14.666572760,0,1
14.666993500,1,1
14.716575000,1,0
14.716993600,0,0
14.766570680,0,1
14.766992640,1,1
14.816572800,1,0
14.816992480,0,0
14.866575620,0,1
14.866991700,1,1
14.916577800,1,0
14.916991420,0,0
14.966574200,0,1
14.966991000,1,1
15.016577280,1,0
15.017004620,0,0
15.066579620,0,1
15.066989960,1,1
15.116575860,1,0
15.116989860,0,0
15.166578220,0,1
15.166989320,1,1
15.216580460,1,0
15.216988800,0,0
15.266576140,0,1
15.266988200,1,1
15.316578260,1,0
15.316987900,0,0
15.366581080,0,1
15.366987340,1,1
15.416583260,1,0
15.416986940,0,0
15.466578520,0,1
15.466986940,1,1
15.516581540,1,0
15.516986260,0,0
15.566583560,0,1
15.566985840,1,1
15.616580180,1,0
15.616985560,0,0
15.666583020,0,1
