Time [s],Channel 0,Channel 1
0.044942720,0,1
0.045476260,1,1
0.094945780,1,0
0.095475960,0,0
0.144942220,0,1
0.145475700,1,1
0.194945200,1,0
0.195475480,0,0
0.244944080,0,1
0.245475660,1,1
0.294946240,1,0
0.295474900,0,0
0.344948620,0,1
0.345474620,1,1
0.394944940,1,0
0.395474960,0,0
0.444946540,0,1
0.445474660,1,1
0.494948660,1,0
0.495474680,0,0
0.544945560,0,1
0.545473700,1,1
0.594947760,1,0
0.595473400,0,0
0.644950080,0,1
0.645472960,1,1
0.694947240,1,0
0.695472740,0,0
0.744949600,0,1
0.745472440,1,1
0.794951740,1,0
0.795472320,0,0
0.844954120,0,1
0.845471900,1,1
0.894950440,1,0
0.895471660,0,0
0.944952040,0,1
0.945471360,1,1
0.994954160,1,0
0.995471580,0,0
1.044951080,0,1
1.045470840,1,1
1.094953260,1,0
1.095470540,0,0
1.144955580,0,1
1.145470320,1,1
1.194952740,1,0
1.195470580,0,0
1.244953140,0,1
1.245470260,1,1
1.294955280,1,0
1.295469940,0,0
1.344957960,0,1
1.345469220,1,1
1.394955080,1,0
1.395469460,0,0
1.444957100,0,1
1.445468660,1,1
1.494959960,1,0
1.495469040,0,0
1.544956520,0,1
1.545468140,1,1
1.594959060,1,0
1.595467920,0,0
1.644961360,0,1
1.645467560,1,1
1.694958460,1,0
1.695467320,0,0
1.744960520,0,1
1.745467060,1,1
1.794963020,1,0
1.795466840,0,0
1.844960000,0,1
1.845466460,1,1
1.894962560,1,0
1.895466260,0,0
1.944964880,0,1
1.945465960,1,1
1.994961980,1,0
1.995466000,0,0
2.044964340,0,1
2.045465380,1,1
2.094967340,1,0
2.095465360,0,0
2.144963460,0,1
2.145464880,1,1
2.194966000,1,0
2.195465160,0,0
2.244965240,0,1
2.245464840,1,1
2.294968200,1,0
2.295464560,0,0
2.344970520,0,1
2.345463900,1,1
2.394967200,1,0
2.395463580,0,0
2.444969920,0,1
2.445463260,1,1
2.494967020,1,0
2.495463580,0,0
2.544969380,0,1
2.545462720,1,1
2.594971520,1,0
2.595462560,0,0
2.644973900,0,1
2.645462360,1,1
2.694970200,1,0
2.695462540,0,0
2.744971800,0,1
2.745461960,1,1
2.794973920,1,0
2.795461520,0,0
2.844970840,0,1
2.845461140,1,1
2.894973020,1,0
2.895460880,0,0
2.944975340,0,1
2.945460520,1,1
2.994972500,1,0
2.995460260,0,0
3.045255320,0,1
3.045460520,1,1
3.095258360,1,0
3.095459900,0,0
3.145254800,0,1
3.145459420,1,1
3.195256940,1,0
3.195459760,0,0
3.245259240,0,1
3.245459540,1,1
3.295255920,1,0
3.295459200,0,0
3.345258620,0,1
3.345458380,1,1
3.395261640,1,0
3.395458260,0,0
3.445258080,0,1
3.445457800,1,1
3.495260220,1,0
3.495458040,0,0
3.545262600,0,1
3.545457420,1,1
3.595258920,1,0
3.595457240,0,0
3.645260500,0,1
3.645456860,1,1
3.695262640,1,0
3.695456460,0,0
3.745265440,0,1
3.745456160,1,1
3.795261720,1,0
3.795456040,0,0
3.845264040,0,1
3.845455680,1,1
3.895267100,1,0
3.895455400,0,0
3.945263540,0,1
3.945455120,1,1
3.995265680,1,0
3.995454860,0,0
4.045268060,0,1
4.045454580,1,1
4.095264380,1,0
4.095454300,0,0
4.145265980,0,1
4.145454060,1,1
4.195268100,1,0
4.195453960,0,0
4.245268760,0,1
4.245454220,1,1
4.295271400,1,0
4.295453940,0,0
4.345267920,0,1
4.345453120,1,1
4.395270060,1,0
4.395453480,0,0
4.445272440,0,1
4.445452440,1,1
4.495268740,1,0
4.495452640,0,0
4.545270340,0,1
4.545451860,1,1
4.595272460,1,0
4.595451620,0,0
4.645275280,0,1
4.645451320,1,1
4.695271560,1,0
4.695451260,0,0
4.745273860,0,1
4.745450800,1,1
4.795276940,1,0
4.795451000,0,0
4.845273380,0,1
4.845450360,1,1
4.895275520,1,0
4.895450080,0,0
4.945277880,0,1
4.945449660,1,1
4.995274200,1,0
4.995449460,0,0
5.045275800,0,1
5.045449160,1,1
5.095277920,1,0
5.095448880,0,0
5.145280740,0,1
5.145448620,1,1
5.195277000,1,0
5.195448400,0,0
5.245278660,0,1
5.245448700,1,1
5.295281720,1,0
5.295447760,0,0
5.345278180,0,1
5.345448300,1,1
5.395280700,1,0
5.395447300,0,0
5.445283120,0,1
5.445447000,1,1
5.495285300,1,0
5.495447180,0,0
5.545281380,0,1
5.545446440,1,1
5.595284460,1,0
5.595446440,0,0
5.645286460,0,1
5.645445920,1,1
5.695283100,1,0
5.695445640,0,0
5.745285940,0,1
5.745445360,1,1
5.795288120,1,0
5.795445140,0,0
5.845284580,0,1
5.845444780,1,1
5.895287580,1,0
5.895444560,0,0
5.945290020,0,1
5.945444280,1,1
5.995286300,1,0
5.995444080,0,0
6.045288240,0,1
6.045443740,1,1
6.095290360,1,0
6.095443440,0,0
6.145292340,0,1
6.145443200,1,1
6.195289020,1,0
6.195443440,0,0
6.245290480,0,1
6.245443140,1,1
6.295293480,1,0
6.295467180,0,0
6.345289640,0,1
6.345442140,1,1
6.395292120,1,0
6.395442300,0,0
6.445295000,0,1
6.445441580,1,1
6.495291660,1,0
6.495441820,0,0
6.545293960,0,1
6.545441020,1,1
6.595296960,1,0
6.595440900,0,0
6.645293400,0,1
6.645440440,1,1
6.695296400,1,0
6.695440240,0,0
6.745298420,0,1
6.745439960,1,1
6.795295040,1,0
6.795439900,0,0
6.845297880,0,1
6.845439440,1,1
6.895300060,1,0
6.895439200,0,0
6.945296520,0,1
6.945438840,1,1
6.995299520,1,0
6.995438640,0,0
7.045301960,0,1
7.045438440,1,1
7.095298240,1,0
7.095438080,0,0
7.145300180,0,1
7.145437800,1,1
7.195302300,1,0
7.195438100,0,0
7.245304000,0,1
7.245438060,1,1
7.295300620,1,0
7.295437000,0,0
7.345303440,0,1
7.345436980,1,1
7.395300120,1,0
7.395436820,0,0
7.445302480,0,1
7.445436260,1,1
7.495305520,1,0
7.495436520,0,0
7.545301960,0,1
7.545435580,1,1
7.595304920,1,0
7.595435480,0,0
7.645307220,0,1
7.645435180,1,1
7.695303540,1,0
7.695434840,0,0
7.745305120,0,1
7.745434640,1,1
7.795307240,1,0
7.795434400,0,0
7.845310060,0,1
7.845434200,1,1
7.895306320,1,0
7.895433740,0,0
7.945308620,0,1
7.945433440,1,1
7.995311680,1,0
7.995433180,0,0
8.045308120,0,1
8.045432920,1,1
8.095310260,1,0
8.095432620,0,0
8.145312640,0,1
8.145432320,1,1
8.195308940,1,0
8.195432140,0,0
8.245311140,0,1
8.245432860,1,1
8.295314180,1,0
8.295432140,0,0
8.345310620,0,1
8.345431480,1,1
8.395313560,1,0
8.395431560,0,0
8.445315880,0,1
8.445430800,1,1
8.495312180,1,0
8.495431120,0,0
8.545313780,0,1
8.545430240,1,1
8.595315880,1,0
8.595429920,0,0
8.645318700,0,1
8.645429660,1,1
8.695314960,1,0
8.695429400,0,0
8.745317260,0,1
8.745429100,1,1
8.795320340,1,0
8.795429100,0,0
8.845316760,0,1
8.845428580,1,1
8.895318900,1,0
8.895428280,0,0
8.945321260,0,1
8.945428000,1,1
8.995317580,1,0
8.995427780,0,0
9.045088920,0,1
9.045428220,1,1
9.095091060,1,0
9.095427840,0,0
9.145087140,0,1
9.145426960,1,1
9.195089700,1,0
9.195426680,0,0
9.245090120,0,1
9.245427380,1,1
9.295092760,1,0
9.295426700,0,0
9.345094840,0,1
9.345426120,1,1
9.395091460,1,0
9.395425740,0,0
9.445093760,0,1
9.445425360,1,1
9.495090860,1,0
9.495425900,0,0
9.545093200,0,1
9.545424800,1,1
9.595096200,1,0
9.595424520,0,0
9.645098200,0,1
9.645424240,1,1
9.695094820,1,0
9.695424140,0,0
9.745097660,0,1
9.745423700,1,1
9.795099840,1,0
9.795423800,0,0
9.845096300,0,1
9.845423360,1,1
9.895099300,1,0
9.895422860,0,0
9.945095820,0,1
9.945422600,1,1
9.995098000,1,0
9.995422820,0,0
10.045099940,0,1
10.045422340,1,1
10.095102040,1,0
10.095421820,0,0
10.145098120,0,1
10.145421500,1,1
10.195100700,1,0
10.195440640,0,0
10.245101140,0,1
10.245421720,1,1
10.295104180,1,0
10.295420740,0,0
10.345100600,0,1
10.345420420,1,1
10.395103560,1,0
10.395420300,0,0
10.445105860,0,1
10.445420120,1,1
10.495102160,1,0
10.495420180,0,0
10.545103760,0,1
10.545419860,1,1
10.595105860,1,0
10.595419220,0,0
10.645108680,0,1
10.645418840,1,1
10.695104940,1,0
10.695418580,0,0
10.745107240,0,1
10.745418240,1,1
10.795110300,1,0
10.795418460,0,0
10.845106720,0,1
10.845417780,1,1
10.895108860,1,0
10.895417600,0,0
10.945111220,0,1
10.945417200,1,1
10.995107540,1,0
10.995417040,0,0
11.045109120,0,1
11.045416680,1,1
11.095111240,1,0
11.095416500,0,0
11.145114080,0,1
11.145416140,1,1
11.195110380,1,0
11.195416400,0,0
11.245110440,0,1
11.245416280,1,1
11.295113340,1,0
11.295415400,0,0
11.345115680,0,1
11.345415540,1,1
11.395112000,1,0
11.395415100,0,0
11.445113620,0,1
11.445414460,1,1
11.495115760,1,0
11.495414980,0,0
11.545118600,0,1
11.545413920,1,1
11.595114880,1,0
11.595414000,0,0
11.645117200,0,1
11.645413500,1,1
11.695120280,1,0
11.695413140,0,0
11.745116740,0,1
11.745412820,1,1
11.795118900,1,0
11.795412740,0,0
11.845121280,0,1
11.845412480,1,1
11.895117600,1,0
11.895412020,0,0
11.945119220,0,1
11.945411780,1,1
11.995121340,1,0
11.995411660,0,0
12.045124180,0,1
12.045411340,1,1
12.095120460,1,0
12.095410940,0,0
12.145122780,0,1
12.145411040,1,1
12.195125860,1,0
12.195410800,0,0
12.245124400,0,1
12.245410740,1,1
12.295121500,1,0
12.295409880,0,0
12.345123860,0,1
12.345409780,1,1
12.395126880,1,0
12.395409540,0,0
12.445128920,0,1
12.445409980,1,1
12.495125560,1,0
12.495409380,0,0
12.545128400,0,1
12.545408480,1,1
12.595130600,1,0
12.595408360,0,0
12.645127080,0,1
12.645408380,1,1
12.695130080,1,0
12.695407700,0,0
12.745126620,0,1
12.745407660,1,1
12.795128820,1,0
12.795407300,0,0
12.845130780,0,1
12.845406940,1,1
12.895132900,1,0
12.895406680,0,0
12.945129000,0,1
12.945406300,1,1
12.995131600,1,0
12.995406420,0,0
13.045134120,0,1
13.045405840,1,1
13.095130800,1,0
13.095405740,0,0
13.145133160,0,1
13.145405420,1,1
13.195136220,1,0
13.195405080,0,0
13.245136760,0,1
13.245405640,1,1
13.295133460,1,0
13.295405020,0,0
13.345136180,0,1
13.345404180,1,1
13.395139200,1,0
13.395403900,0,0
13.445135640,0,1
13.445404160,1,1
13.495137800,1,0
13.495403940,0,0
13.545140180,0,1
13.545403100,1,1
13.595136500,1,0
13.595402880,0,0
13.645138100,0,1
13.645402620,1,1
13.695140240,1,0
13.695402260,0,0
13.745143060,0,1
13.745401980,1,1
13.795139340,1,0
13.795401740,0,0
13.845141660,0,1
13.845401460,1,1
13.895144740,1,0
13.895401200,0,0
13.945141180,0,1
13.945401520,1,1
13.995143340,1,0
13.995401220,0,0
14.045145720,0,1
14.045400400,1,1
14.095142040,1,0
14.095401220,0,0
14.145143640,0,1
14.145399800,1,1
14.195145780,1,0
14.195399540,0,0
14.245146380,0,1
14.245399880,1,1
14.295149400,1,0
14.295399460,0,0
14.345145560,0,1
14.345398920,1,1
14.395148060,1,0
14.395398520,0,0
14.445150940,0,1
14.445398280,1,1
14.495147600,1,0
14.495398500,0,0
14.545149920,0,1
14.545398200,1,1
14.595147020,1,0
14.595397640,0,0
14.645149380,0,1
14.645397160,1,1
14.695152400,1,0
14.695396960,0,0
14.745154420,0,1
14.745396720,1,1
14.795151060,1,0
14.795396580,0,0
14.845153900,0,1
14.845396340,1,1
14.895156100,1,0
14.895395820,0,0
14.945152560,0,1
14.945395480,1,1
14.995155580,1,0
14.995395800,0,0
15.044928780,0,1
15.045395880,1,1
15.094925400,1,0
15.095395200,0,0
15.144928240,0,1
15.145394900,1,1
15.194930860,1,0
15.195394120,0,0
15.244928020,0,1
15.245394460,1,1
15.294930200,1,0
15.295394260,0,0
15.344932200,0,1
15.345393320,1,1
15.394928800,1,0
15.395393160,0,0
15.444931260,0,1
15.445392780,1,1
15.494933800,1,0
15.495392960,0,0
15.544930220,0,1
15.545392340,1,1
15.594933220,1,0
15.595392180,0,0
15.644935280,0,1
15.645391980,1,1
15.694931880,1,0
15.695391400,0,0
15.744934780,0,1
15.745391260,1,1
15.794937340,1,0
15.795390920,0,0
15.844933740,0,1
15.845390600,1,1
15.894936740,1,0
15.895390380,0,0
15.944939100,0,1
15.945390040,1,1
15.994936200,1,0
15.995389820,0,0
16.044938240,0,1
16.045389580,1,1
16.094940780,1,0
16.095389280,0,0
16.144937720,0,1
16.145388960,1,1
16.194939900,1,0
16.195389240,0,0
16.244940440,0,1
16.245389240,1,1
16.294942980,1,0
16.295388740,0,0
16.344939920,0,1
16.345387900,1,1
16.394942100,1,0
16.395388060,0,0
16.444944480,0,1
16.445387660,1,1
16.494941580,1,0
16.495387520,0,0
16.544944020,0,1
16.545386820,1,1
16.594946220,1,0
16.595386880,0,0
16.644942260,0,1
16.645386400,1,1
16.694944380,1,0
16.695386020,0,0
16.744946380,0,1
16.745385740,1,1
16.794948980,1,0
16.795385620,0,0
16.844945580,0,1
16.845387200,1,1
16.894948160,1,0
16.895384920,0,0
16.944950520,0,1
16.945384620,1,1
16.994947660,1,0
16.995384560,0,0
17.044950020,0,1
17.045384100,1,1
17.094947080,1,0
17.095383820,0,0
17.144949380,0,1
17.145383600,1,1
17.194951620,1,0
17.195383800,0,0
17.244952560,0,1
17.245383700,1,1
17.294949500,1,0
17.295383560,0,0
17.344952380,0,1
17.345382660,1,1
17.394954940,1,0
17.395382200,0,0
17.444951340,0,1
17.445382140,1,1
17.494954360,1,0
17.495382180,0,0
17.544956720,0,1
17.545381420,1,1
17.594953800,1,0
17.595381220,0,0
17.644955840,0,1
17.645381560,1,1
17.694958380,1,0
17.695380560,0,0
17.744955300,0,1
17.745380360,1,1
17.794957500,1,0
17.795380020,0,0
17.844959860,0,1
17.845379840,1,1
17.894956960,1,0
17.895379500,0,0
17.944959420,0,1
17.945379200,1,1
17.994961600,1,0
17.995378980,0,0
18.044957640,0,1
18.045378700,1,1
18.094959760,1,0
18.095378420,0,0
18.144961760,0,1
18.145378100,1,1
18.194964340,1,0
18.195403240,0,0
18.244960920,0,1
18.245378580,1,1
18.294963540,1,0
18.295378100,0,0
18.344965880,0,1
18.345377560,1,1
18.394963020,1,0
18.395376800,0,0
18.444965380,0,1
18.445376560,1,1
18.494962440,1,0
18.495376660,0,0
18.544964740,0,1
18.545375960,1,1
18.594966980,1,0
18.595375680,0,0
18.644968580,0,1
18.645375600,1,1
18.694964780,1,0
18.695375180,0,0
18.744967600,0,1
18.745374840,1,1
18.794969780,1,0
18.795374580,0,0
18.844966180,0,1
18.845374460,1,1
18.894969260,1,0
18.895374120,0,0
18.944971620,0,1
18.945373780,1,1
18.994967840,1,0
18.995373540,0,0
19.044970220,0,1
19.045373320,1,1
19.094972440,1,0
19.095372980,0,0
19.144974040,0,1
19.145372860,1,1
19.194970240,1,0
19.195372440,0,0
19.244971000,0,1
19.245372860,1,1
19.294974080,1,0
19.295372360,0,0
19.344976420,0,1
19.345371800,1,1
19.394973520,1,0
19.395371400,0,0
19.444975540,0,1
19.445371640,1,1
19.494978080,1,0
19.495371300,0,0
19.544975020,0,1
19.545370540,1,1
19.594977200,1,0
19.595370300,0,0
19.644979580,0,1
19.645370440,1,1
19.694976660,1,0
19.695369960,0,0
19.744979100,0,1
19.745369540,1,1
19.794981300,1,0
19.795369220,0,0
19.844977340,0,1
19.845369260,1,1
19.894979460,1,0
19.895368660,0,0
19.944981440,0,1
19.945368380,1,1
19.994984020,1,0
19.995368200,0,0
20.044980620,0,1
20.045368040,1,1
20.094983200,1,0
20.095367580,0,0
20.144985560,0,1
20.145367280,1,1
20.194982700,1,0
20.195367040,0,0
20.244984980,0,1
20.245367740,1,1
20.294982020,1,0
20.295366460,0,0
20.344984320,0,1
20.345366360,1,1
20.394986920,1,0
20.395366480,0,0
20.444983720,0,1
20.445365800,1,1
20.494986720,1,0
20.495365960,0,0
20.544989080,0,1
20.545365100,1,1
20.594985300,1,0
20.595364840,0,0
20.644987680,0,1
20.645364720,1,1
20.694989900,1,0
20.695364320,0,0
20.744991500,0,1
20.745364060,1,1
20.794987700,1,0
20.795363800,0,0
20.844990520,0,1
20.845363480,1,1
20.894992700,1,0
20.895363260,0,0
20.944989100,0,1
20.945362960,1,1
20.994992160,1,0
20.995362660,0,0
21.044781840,0,1
21.045363060,1,1
21.094784360,1,0
21.095362140,0,0
